         2644190 function calls (2644055 primitive calls) in 0.501 seconds

   Ordered by: cumulative time
   List reduced from 329 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.502    0.502 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\reproduce_slow_pauschale.py:68(run_benchmark)
     72/1    0.001    0.000    0.473    0.473 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:72(wrapper)
        1    0.106    0.106    0.471    0.471 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:2647(determine_applicable_pauschale)
       71    0.000    0.000    0.200    0.003 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:2044(evaluate_pauschale_logic_orchestrator)
       71    0.000    0.000    0.199    0.003 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:724(_evaluate_prueflogik_expression)
      355    0.002    0.000    0.194    0.001 {method 'sub' of 're.Pattern' objects}
      592    0.005    0.000    0.193    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:733(_replace)
  580/574    0.004    0.000    0.187    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:670(_evaluate_condition_text)
      579    0.007    0.000    0.180    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:1206(check_single_condition)
  1807980    0.098    0.000    0.098    0.000 {method 'get' of 'dict' objects}
      889    0.016    0.000    0.070    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\utils.py:93(get_table_content)
       71    0.013    0.000    0.066    0.001 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:474(count_matching_lkn_codes)
      113    0.037    0.000    0.056    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:1259(<setcomp>)
      398    0.034    0.000    0.049    0.000 C:\Users\beata\OneDrive\Dokumente\Organisation\OAAT\Neuer_Arzttarif\GPT-Assistent\Arzttarif_Assistent_dev\regelpruefer_pauschale.py:1356(<setcomp>)
